Country,Population,Production
Afghanistan,38928341,1979.9
Albania,2877800,1295.738159
Algeria,43851043,906.6
Andorra,77265,5209.2
Angola,32866268,
Antigua and Barbuda,97928,1815.965133
Argentina,45195777,26022.8
Armenia,2963234,5212.6
Australia,25499881,2055.8
Austria,9006400,
Azerbaijan,10139175,3666.7
Bahamas,393248,1650.5
Bahrain,1701583,7386.4
Bangladesh,164689383,3217.4
Barbados,287371,1314.3
Belarus,9449321,8430.9
Belgium,11589616,1432.8
Belize,397621,1170.4
Benin,12123198,4901.3
Bhutan,771612,4373.4
Bolivia,11673029,
Bosnia and Herzegovina,3280815,7841.5
Botswana,2351625,6050.7
Brazil,212559409,3539.9
Brunei,437479,3526.3
Bulgaria,6948445,
Burkina Faso,20903278,2024
Burma,54409800,5255.7
Burundi,11890781,3000
Cabo Verde,548800,2943.7
Cambodia,16718971,3441.5
Cameroon,26545864,1033.6
Canada,37742157,816.2
Central African Republic,4829764,4079.4
Chad,16425859,4755.958761
Chile,19116209,6986.9
China,1439323774,
Colombia,50882884,6247.8
Comoros,869595,6296.4
Congo (Kinshasa),5518092,2210.9
Costa Rica,5094114,1661.3
Cote d'Ivoire,25070000,857.7
Croatia,4105268,884.4
Cuba,11326616,5082.9
Cyprus,875899,1382
Czechia,10708982,15.7
Denmark,5792203,3357.1
Djibouti,988002,3797.430031
Dominica,71991,2572.3
Dominican Republic,10847904,
Ecuador,17643060,
Egypt,102334403,2368.5
El Salvador,6486201,6042.7
Equatorial Guinea,1402985,7133.3
Eritrea,3546427,1888.9
Estonia,1326539,1649.6
Eswatini,1160164,6926.3
Ethiopia,114963583,4556.5
Fiji,896444,1520.4
Finland,5540718,5564.841355
France,65273512,3571.169882
Gabon,2225728,5212.301509
Gambia,2416664,3042.824207
Georgia,3989175,3925.402702
Germany,83783945,3915.7
Ghana,31072945,6187.9
Greece,10423056,5851.055201
Grenada,112519,640.7
Guatemala,17915567,4501.5
Guinea,13132792,4411.5
Guinea-Bissau,1874000,2861.3
Guyana,786559,5460.398639
Haiti,11402533,1949.800415
Holy See,809,3589.3
Honduras,9904608,3445.2
Hungary,9660350,6384.2
Iceland,341250,
India,1380004385,1695.1
Indonesia,273523621,1621.1
Iran,83992953,6241
Iraq,40222503,2647.5
Ireland,4937796,1925
Israel,8655541,
Italy,60461828,1329.9
Jamaica,2961161,744.8
Japan,126476458,1502.6
Jordan,10203140,
Kazakhstan,18776707,4197.1
Kenya,53771300,1000
"Korea, South",51640000,
Kosovo,1932774,2197.1
Kuwait,4270563,
Kyrgyzstan,6524191,3665.9
Laos,7275556,5928.004338
Latvia,1886202,
Lebanon,6825442,1890.1
Lesotho,2142252,1491.228439
Liberia,5057677,6992.4
Libya,6871287,1271.7
Liechtenstein,38137,6659.1
Lithuania,2722291,4178.618534
Luxembourg,625976,3639.892283
Madagascar,27691019,2126.367036
Malawi,19129955,2093.545813
Malaysia,32365998,5279.6
Maldives,540542,2138.297973
Mali,20250834,
Malta,441539,3282.8
Mauritania,4649660,
Mauritius,1271767,7124.8
Mexico,128932753,2140.8
Moldova,4033963,2549.6
Monaco,39244,4858
Mongolia,3278292,3816.8
Montenegro,628062,5626.5
Morocco,36910558,1114.3
Mozambique,31255435,1710.2
Namibia,2540916,6050.3
Nepal,29136808,1288.3
Netherlands,17134873,1806.2
New Zealand,4822233,3260.4
Nicaragua,6624554,3851.2
Niger,24206636,
Nigeria,206139587,
North Macedonia,2083380,6211.8
Norway,5421242,10318.2
Oman,5106622,4737.27713
Pakistan,220892331,4737
Panama,4314768,3100.1
Papua New Guinea,8947027,1125
Paraguay,7132530,672.4
Peru,32971846,
Philippines,109581085,4735.005672
Poland,37846605,2108.222246
Portugal,10196707,1442.261265
Qatar,2881060,
Romania,19237682,4746.8
Russia,145934460,3256.234469
Rwanda,12952209,3621.235369
Saint Kitts and Nevis,53192,882.4
Saint Lucia,183629,4673.217147
Saint Vincent and the Grenadines,110947,4734.2
San Marino,33938,5736.8
Sao Tome and Principe,219161,4662.8
Saudi Arabia,34813867,
Senegal,16743930,
Serbia,6804596,742.9
Seychelles,98340,
Sierra Leone,7976985,1893.6
Singapore,5850343,2470.2
Slovakia,5459643,2352.9
Slovenia,2078932,2339.965699
Somalia,15893219,3806.5
South Africa,59308690,
South Sudan,11193729,3931.761299
Spain,46754783,3664.2
Sri Lanka,21413250,1686
Sudan,43849269,
Suriname,586634,3645.9
Sweden,10099270,2309.790986
Switzerland,8654618,3338.4
Syria,17500657,1218.6
Taiwan,23816775,
Tajikistan,9537642,672.1
Tanzania,56320000,1553.8
Thailand,69799978,9047.1
Timor-Leste,1268000,2004.4
Togo,8278737,3649.9
Trinidad and Tobago,1399491,7230.849114
Tunisia,11818618,319.7
Turkey,84339067,8479.9
Uganda,45741000,560.2
Ukraine,43733759,1420
United Arab Emirates,9890400,2223.7
United Kingdom,67886004,7919.9
Uruguay,3473727,4196.3
United States of America,331002647,3196.3
Uzbekistan,33469199,
Venezuela,28435943,9029.2
Vietnam,97338583,5703.031316
West Bank and Gaza,4430000,18624.1
Western Sahara,597330,1622.282644
Yemen,29825968,3020.8
Zambia,18383956,3374.2
Zimbabwe,14862927,4562.9
